Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
4438,1,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,4.0,3.0,4.0,yes
4439,9,Family Leisure,Economy Class,4.0,5.0,5.0,3.0,4.0,2.0,5.0,yes
4440,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,4.0,4.0,yes
4441,1,Family Leisure,Economy Class,5.0,5.0,3.0,5.0,4.0,5.0,4.0,yes
4442,1,Couple Leisure,Economy Class,2.0,3.0,3.0,1.0,,,1.0,no
4443,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,,5.0,yes
4444,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4445,9,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,4.0,,4.0,yes
4446,7,Solo Leisure,Business Class,4.0,4.0,3.0,5.0,4.0,3.0,4.0,yes
4447,1,Solo Leisure,Premium Economy,5.0,5.0,5.0,5.0,4.0,3.0,5.0,yes
4448,9,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
4449,8,Solo Leisure,Business Class,4.0,4.0,2.0,4.0,4.0,4.0,4.0,yes
4450,2,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,,3.0,yes
4451,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4452,4,Solo Leisure,Economy Class,4.0,4.0,2.0,2.0,2.0,,2.0,no
4453,1,Business,Economy Class,1.0,2.0,3.0,1.0,,,3.0,no
4454,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4455,4,Family Leisure,Economy Class,3.0,3.0,,1.0,,,3.0,no
4456,1,Family Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no
4457,2,Family Leisure,Economy Class,3.0,1.0,1.0,2.0,1.0,,1.0,no
4458,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4459,2,Couple Leisure,Economy Class,1.0,3.0,1.0,2.0,,,3.0,no
4460,9,Family Leisure,Economy Class,4.0,5.0,3.0,5.0,,,5.0,yes
4461,7,Solo Leisure,Economy Class,2.0,5.0,4.0,4.0,,,4.0,yes
4462,8,Couple Leisure,Economy Class,3.0,5.0,4.0,5.0,,,5.0,yes
4463,8,Couple Leisure,Economy Class,3.0,5.0,3.0,5.0,,,5.0,yes
4464,1,Family Leisure,Economy Class,,,,,,,1.0,no
4465,9,Business,Economy Class,4.0,5.0,5.0,5.0,,,5.0,yes
4466,8,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,2.0,,4.0,yes
4467,1,Solo Leisure,Economy Class,1.0,3.0,2.0,1.0,,,1.0,no
4468,3,Family Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,2.0,no
4469,2,Couple Leisure,Economy Class,2.0,3.0,2.0,1.0,1.0,,1.0,no
4470,1,,Economy Class,1.0,2.0,1.0,,1.0,,1.0,no
4471,7,,Economy Class,0.0,0.0,0.0,,0.0,,0.0,yes
4472,7,,Economy Class,4.0,3.0,1.0,,1.0,,4.0,yes
4473,9,,Economy Class,,,,,,,4.0,yes
4474,1,Couple Leisure,Economy Class,,,,,,,1.0,no
4475,1,Family Leisure,Economy Class,,,,1.0,,,1.0,no
4476,1,Family Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4477,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4478,6,Solo Leisure,Economy Class,3.0,4.0,3.0,3.0,,,5.0,yes
4479,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4480,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4481,1,Business,Economy Class,,,,1.0,,,1.0,no
4482,1,Business,Economy Class,3.0,3.0,,1.0,,,1.0,no
4483,1,Solo Leisure,Economy Class,3.0,3.0,3.0,2.0,,,2.0,no
4484,1,Business,Business Class,1.0,1.0,,1.0,,,1.0,no
4485,1,Solo Leisure,Economy Class,2.0,2.0,,1.0,,,1.0,no
4486,1,Business,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4487,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4488,1,Business,Economy Class,1.0,2.0,1.0,1.0,1.0,,1.0,no
4489,1,Business,Economy Class,1.0,2.0,1.0,1.0,1.0,,1.0,no
4490,3,Business,Economy Class,3.0,2.0,1.0,1.0,1.0,1.0,2.0,no
4491,1,Couple Leisure,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no
4492,8,Business,Business Class,4.0,4.0,4.0,2.0,4.0,,4.0,yes
4493,1,Business,Economy Class,1.0,3.0,1.0,1.0,,,1.0,no
4494,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4495,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4496,2,Family Leisure,Economy Class,3.0,3.0,2.0,1.0,2.0,,3.0,no
4497,7,Business,Business Class,4.0,4.0,4.0,5.0,,,4.0,yes
4498,2,Business,Business Class,2.0,1.0,1.0,2.0,,,1.0,no
4499,6,Solo Leisure,Economy Class,4.0,2.0,4.0,2.0,3.0,,3.0,yes
4500,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,,1.0,no
4501,1,Family Leisure,Economy Class,3.0,5.0,1.0,1.0,,,1.0,no
4502,n,,Economy Class,3.0,2.0,1.0,,1.0,,3.0,no
4503,5,,Economy Class,4.0,5.0,4.0,,3.0,,4.0,yes
4504,1,,Economy Class,3.0,1.0,1.0,,1.0,,1.0,no
4505,1,,Economy Class,1.0,1.0,2.0,,1.0,,3.0,no
4506,1,,Economy Class,1.0,1.0,1.0,,1.0,,1.0,no
4507,7,,Business Class,4.0,3.0,3.0,,2.0,,5.0,yes
4508,1,,Economy Class,1.0,3.0,1.0,,2.0,,1.0,no
4509,1,,Economy Class,2.0,1.0,2.0,,1.0,,2.0,no
4510,1,,Economy Class,1.0,1.0,1.0,,1.0,,1.0,no
4511,1,,Economy Class,1.0,1.0,1.0,,1.0,,1.0,no
4512,6,,Economy Class,4.0,1.0,4.0,,4.0,,4.0,no
4513,3,,Economy Class,,,,,,,1.0,no
4514,9,,Business Class,,,,,,,4.0,yes
4515,n,,Economy Class,,,,,,,1.0,no
4516,5,,Economy Class,,,,,,,4.0,no
4517,2,,Business Class,,,,,,,1.0,no
4518,9,,Business Class,,,,,,,4.0,yes
4519,n,,Economy Class,,,,,,,1.0,no
4520,7,,Economy Class,,,,,,,4.0,yes
4521,9,,Economy Class,,,,,,,4.0,yes
4522,6,,Economy Class,,,,,,,4.0,yes
4523,1,,Economy Class,,,,,,,1.0,no
4524,n,,Economy Class,,,,,,,1.0,no
4525,n,,Economy Class,,,,,,,1.0,no
4526,n,,Economy Class,,,,,,,1.0,no
4527,2,,Economy Class,,,,,,,1.0,no
4528,n,,Business Class,,,,,,,1.0,no
4529,7,,Business Class,,,,,,,1.0,yes
4530,7,,Economy Class,,,,,,,4.0,yes
4531,7,,,,,,,,,,no
4532,2,,,,,,,,,,no
4533,1,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,2.0,no
4534,1,,,0.0,0.0,0.0,,0.0,,0.0,yes
4535,8,,Economy Class,3.0,3.0,3.0,,3.0,,4.0,yes
4536,n,,,0.0,0.0,0.0,,0.0,,0.0,no
4537,1,,,0.0,0.0,0.0,,0.0,,0.0,no
4538,8,,,0.0,0.0,0.0,,0.0,,0.0,yes
4539,n,,Economy Class,0.0,0.0,0.0,,0.0,,0.0,no
4540,5,,Premium Economy,2.0,3.0,1.0,,1.0,,2.0,no
4541,2,,,0.0,0.0,0.0,,0.0,,0.0,no
4542,1,,,0.0,0.0,0.0,,0.0,,0.0,no
4543,5,,Economy Class,0.0,0.0,0.0,,0.0,,0.0,no
4544,3,,,0.0,0.0,0.0,,0.0,,0.0,no
4545,1,,,0.0,0.0,0.0,,0.0,,0.0,no
4546,1,,Premium Economy,1.0,3.0,1.0,,1.0,,1.0,no
4547,7,,,,,,,,,4.0,yes
4548,n,,Economy Class,,,,,,,1.0,no
4549,1,,,,,,,,,1.0,no
4550,2,,,,,,,,,1.0,no
4551,2,,Economy Class,,,,,,,1.0,no
4552,8,,,,,,,,,4.0,yes
4553,8,,,,,,,,,4.0,yes
4554,1,,,,,,,,,4.0,yes
4555,1,,,,,,,,,1.0,no
4556,n,,,,,,,,,1.0,no
4557,2,,,,,,,,,1.0,no
4558,9,,Economy Class,,,,,,,4.0,yes
4559,9,,Economy Class,,,,,,,4.0,yes
4560,7,,,,,,,,,4.0,yes
4561,8,,,,,,,,,4.0,yes
4562,8,,,,,,,,,4.0,yes
4563,7,,Economy Class,,,,,,,4.0,yes
4564,n,,Economy Class,,,,,,,1.0,no
4565,1,,Economy Class,,,,,,,1.0,no
4566,2,,,,,,,,,1.0,no
4567,2,,,,,,,,,1.0,no
4568,n,,Economy Class,,,,,,,1.0,no
4569,6,,,,,,,,,4.0,yes
4570,8,,,,,,,,,4.0,yes
4571,1,,,,,,,,,,no
4572,1,,,,,,,,,,no
4573,1,Solo Leisure,Economy Class,,,,1.0,,,1.0,no
4574,1,Solo Leisure,Economy Class,,,,,,,1.0,no
4575,1,Business,Business Class,5.0,5.0,5.0,4.0,5.0,,5.0,yes
4576,4,Family Leisure,Economy Class,3.0,5.0,5.0,1.0,1.0,,3.0,no
4577,1,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,4.0,4.0,yes
4578,8,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,2.0,,5.0,yes
4579,1,Solo Leisure,Economy Class,,,,1.0,,,5.0,yes
4580,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
4581,1,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
4582,1,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,4.0,5.0,yes
4583,7,Solo Leisure,Economy Class,2.0,4.0,4.0,5.0,,,5.0,yes
4584,4,Business,Business Class,1.0,3.0,3.0,4.0,3.0,1.0,2.0,no
4585,1,Couple Leisure,Economy Class,,,,2.0,,,3.0,no
4586,6,Solo Leisure,Business Class,2.0,5.0,4.0,3.0,3.0,,3.0,yes
4587,7,Business,Business Class,2.0,5.0,3.0,5.0,3.0,,4.0,yes
4588,3,Family Leisure,Business Class,2.0,2.0,2.0,2.0,1.0,,1.0,no
4589,1,Couple Leisure,Economy Class,2.0,4.0,3.0,1.0,,,1.0,no
4590,1,Solo Leisure,Business Class,4.0,5.0,5.0,1.0,3.0,4.0,5.0,yes
4591,9,Solo Leisure,Economy Class,5.0,5.0,4.0,5.0,2.0,5.0,5.0,yes
4592,1,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,3.0,5.0,yes
4593,7,Business,Economy Class,4.0,3.0,4.0,4.0,4.0,,4.0,no
4594,1,Family Leisure,Economy Class,,,,1.0,,,1.0,no
4595,1,Solo Leisure,Economy Class,4.0,1.0,4.0,3.0,2.0,,3.0,no
4596,1,Couple Leisure,Economy Class,,,,,,,1.0,no
4597,4,Solo Leisure,Economy Class,3.0,5.0,2.0,3.0,2.0,,4.0,no
4598,9,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,4.0,5.0,yes
4599,1,Solo Leisure,Economy Class,,,,1.0,,,1.0,no
4600,1,Solo Leisure,Economy Class,,,,,,,1.0,no
4601,5,Solo Leisure,Economy Class,5.0,5.0,3.0,5.0,3.0,,4.0,yes
4602,9,Business,Business Class,5.0,5.0,5.0,5.0,3.0,,5.0,yes
4603,9,Family Leisure,Business Class,4.0,5.0,5.0,4.0,4.0,,4.0,yes
4604,9,Couple Leisure,Economy Class,4.0,5.0,5.0,4.0,3.0,3.0,5.0,yes
4605,7,Business,Economy Class,4.0,4.0,4.0,3.0,3.0,,5.0,yes
4606,9,Solo Leisure,Economy Class,4.0,5.0,3.0,4.0,4.0,,4.0,yes
4607,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4608,3,Solo Leisure,Business Class,3.0,3.0,2.0,1.0,2.0,,2.0,no
4609,1,Solo Leisure,Business Class,5.0,5.0,5.0,4.0,3.0,,5.0,yes
4610,6,Solo Leisure,Business Class,4.0,2.0,3.0,3.0,2.0,,5.0,yes
4611,5,Solo Leisure,Economy Class,1.0,5.0,2.0,5.0,1.0,,3.0,yes
4612,1,Solo Leisure,Economy Class,2.0,2.0,,1.0,,,1.0,no
4613,1,Family Leisure,Premium Economy,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
4614,5,Couple Leisure,Economy Class,3.0,3.0,2.0,1.0,,,1.0,no
4615,1,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,,5.0,yes
4616,9,Business,Economy Class,5.0,5.0,4.0,5.0,4.0,,5.0,yes
4617,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,2.0,,5.0,yes
4618,1,Business,Economy Class,5.0,5.0,5.0,5.0,4.0,,5.0,yes
4619,8,Solo Leisure,Economy Class,4.0,4.0,5.0,4.0,4.0,4.0,5.0,yes
4620,3,Family Leisure,Economy Class,3.0,3.0,3.0,2.0,1.0,,2.0,no
4621,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
4622,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
4623,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
4624,7,Solo Leisure,Economy Class,3.0,3.0,3.0,4.0,3.0,,4.0,yes
4625,1,Family Leisure,Economy Class,1.0,,,1.0,,,1.0,no
4626,7,Couple Leisure,Economy Class,2.0,2.0,3.0,3.0,3.0,,3.0,no
4627,7,Couple Leisure,Economy Class,4.0,3.0,2.0,1.0,4.0,,5.0,yes
4628,1,Couple Leisure,Economy Class,,,,,,,4.0,yes
4629,9,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,2.0,,5.0,yes
4630,7,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,3.0,3.0,5.0,yes
4631,2,Family Leisure,Economy Class,1.0,4.0,2.0,1.0,,,1.0,no
4632,8,Couple Leisure,Economy Class,4.0,4.0,3.0,4.0,3.0,,4.0,yes
4633,1,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,3.0,,4.0,yes
4634,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4635,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,4.0,yes
4636,1,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,,5.0,yes
4637,8,Solo Leisure,Economy Class,3.0,4.0,4.0,4.0,3.0,,4.0,yes
4638,3,Solo Leisure,Business Class,3.0,2.0,3.0,4.0,3.0,,2.0,no
4639,4,Business,Business Class,1.0,3.0,3.0,4.0,1.0,,3.0,no
4640,3,Couple Leisure,Economy Class,1.0,2.0,2.0,3.0,1.0,,2.0,no
4641,8,Couple Leisure,First Class,4.0,4.0,4.0,4.0,2.0,,5.0,yes
4642,1,Solo Leisure,First Class,5.0,5.0,5.0,5.0,3.0,,5.0,yes
4643,6,Business,Business Class,3.0,3.0,4.0,4.0,1.0,,4.0,yes
4644,8,Business,Business Class,4.0,4.0,5.0,4.0,1.0,,4.0,yes
4645,9,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,,4.0,yes
4646,9,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,4.0,,4.0,yes
4647,7,Couple Leisure,Business Class,5.0,5.0,3.0,5.0,2.0,,4.0,yes
4648,2,Business,Business Class,3.0,3.0,1.0,1.0,1.0,,1.0,no
4649,8,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,1.0,5.0,no
4650,8,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,2.0,,4.0,yes
4651,7,Family Leisure,Business Class,4.0,5.0,4.0,3.0,3.0,,5.0,yes
4652,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4653,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4654,5,Couple Leisure,Economy Class,3.0,3.0,2.0,4.0,1.0,,4.0,no
4655,1,Solo Leisure,Economy Class,4.0,4.0,2.0,2.0,3.0,,1.0,no
4656,9,Business,Business Class,5.0,5.0,5.0,3.0,,,5.0,yes
4657,1,Business,Business Class,3.0,1.0,1.0,3.0,2.0,,2.0,no
4658,4,Solo Leisure,Economy Class,3.0,2.0,3.0,3.0,2.0,,3.0,yes
4659,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4660,6,Business,Economy Class,3.0,3.0,4.0,3.0,2.0,,5.0,yes
4661,1,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,,5.0,yes
4662,5,Couple Leisure,Economy Class,4.0,3.0,3.0,3.0,1.0,,3.0,no
4663,7,Business,Economy Class,3.0,4.0,3.0,4.0,3.0,,4.0,yes
4664,1,Couple Leisure,Business Class,4.0,5.0,5.0,4.0,5.0,,5.0,yes
4665,9,Business,Business Class,4.0,5.0,4.0,5.0,3.0,5.0,4.0,yes
4666,2,Solo Leisure,Economy Class,3.0,4.0,5.0,2.0,1.0,,1.0,no
4667,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4668,9,Family Leisure,Economy Class,3.0,5.0,3.0,5.0,3.0,,5.0,yes
4669,3,Couple Leisure,Economy Class,4.0,2.0,2.0,3.0,1.0,,2.0,no
4670,9,Couple Leisure,Economy Class,3.0,5.0,4.0,4.0,5.0,,5.0,yes
4671,9,Solo Leisure,Economy Class,4.0,1.0,5.0,4.0,4.0,,4.0,yes
4672,8,Solo Leisure,Business Class,3.0,4.0,3.0,4.0,,3.0,4.0,yes
4673,8,Solo Leisure,Economy Class,4.0,4.0,5.0,3.0,4.0,3.0,5.0,yes
4674,5,Business,Economy Class,3.0,2.0,4.0,4.0,1.0,,3.0,no
4675,4,Family Leisure,Economy Class,3.0,1.0,2.0,1.0,,,1.0,no
4676,1,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,2.0,1.0,1.0,no
4677,1,Solo Leisure,Economy Class,,,,1.0,,,1.0,no
4678,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4679,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
4680,1,Business,Business Class,1.0,1.0,1.0,5.0,3.0,,1.0,no
4681,2,Business,Business Class,2.0,2.0,2.0,1.0,2.0,1.0,1.0,no
4682,3,Business,Economy Class,2.0,1.0,2.0,1.0,1.0,,2.0,no
4683,3,Solo Leisure,Economy Class,2.0,3.0,3.0,1.0,1.0,1.0,2.0,no
4684,4,Solo Leisure,Economy Class,2.0,3.0,2.0,2.0,,,2.0,no
4685,1,Solo Leisure,Economy Class,2.0,1.0,3.0,1.0,1.0,1.0,1.0,no
4686,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4687,1,Solo Leisure,Economy Class,2.0,1.0,2.0,1.0,,,1.0,no
4688,9,Business,Economy Class,5.0,5.0,,5.0,,,4.0,yes
4689,3,Family Leisure,Economy Class,3.0,1.0,2.0,2.0,,,1.0,no
4690,2,Solo Leisure,Economy Class,2.0,3.0,2.0,1.0,,,1.0,no
4691,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4692,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,,1.0,no
4693,2,,Economy Class,3.0,2.0,3.0,,0.0,,2.0,no
4694,1,,Economy Class,4.0,1.0,1.0,,0.0,,1.0,no
4695,8,,Economy Class,4.0,5.0,3.0,,0.0,,4.0,yes
4696,n,,Business Class,2.0,2.0,2.0,,1.0,,1.0,no
4697,1,,Economy Class,,,,,,,4.0,yes
4698,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
4699,2,Business,Economy Class,1.0,2.0,2.0,2.0,,,3.0,no
4700,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,,5.0,yes
4701,8,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,1.0,1.0,4.0,yes
4702,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,,,4.0,yes
4703,9,Solo Leisure,Economy Class,5.0,4.0,4.0,4.0,,,5.0,yes
4704,8,Couple Leisure,Economy Class,4.0,5.0,4.0,5.0,1.0,1.0,3.0,yes
4705,8,,Economy Class,4.0,5.0,4.0,,4.0,,3.0,yes
4706,1,,Economy Class,4.0,5.0,4.0,,0.0,,3.0,yes
4707,1,,Economy Class,,,,,,,4.0,yes
4708,9,,Economy Class,,,,,,,4.0,yes
4709,n,,,,,,,,,,no
4710,1,Solo Leisure,Economy Class,3.0,5.0,,5.0,,,5.0,yes
4711,1,Solo Leisure,Economy Class,,,,1.0,,,3.0,no
4712,3,Couple Leisure,Economy Class,2.0,2.0,1.0,2.0,,,2.0,no
4713,1,Solo Leisure,Economy Class,3.0,2.0,,1.0,,,1.0,no
4714,1,Couple Leisure,Economy Class,,,,,,,5.0,no
4715,1,Family Leisure,Economy Class,2.0,1.0,,1.0,,,1.0,no
4716,2,Couple Leisure,Economy Class,1.0,4.0,3.0,1.0,,,4.0,no
4717,3,Couple Leisure,Economy Class,4.0,5.0,2.0,1.0,,,2.0,no
4718,1,Couple Leisure,Economy Class,3.0,4.0,3.0,5.0,,,4.0,yes
4719,2,Couple Leisure,Economy Class,5.0,3.0,1.0,3.0,,,1.0,no
4720,3,Family Leisure,Economy Class,3.0,4.0,1.0,1.0,,,2.0,no
4721,4,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,,,3.0,no
4722,9,Solo Leisure,Economy Class,3.0,5.0,5.0,4.0,,,3.0,yes
4723,2,Couple Leisure,Economy Class,2.0,1.0,,3.0,,,1.0,no
4724,8,Family Leisure,Economy Class,3.0,5.0,3.0,3.0,,,4.0,yes
4725,2,Family Leisure,Economy Class,3.0,3.0,3.0,1.0,1.0,,2.0,no
4726,3,Couple Leisure,Economy Class,3.0,4.0,,1.0,,,1.0,no
4727,5,Couple Leisure,Economy Class,3.0,2.0,,4.0,,,3.0,no
4728,7,Business,Economy Class,3.0,5.0,,5.0,,,5.0,yes
4729,9,Solo Leisure,Economy Class,3.0,4.0,3.0,4.0,,,3.0,yes
4730,7,,Economy Class,,,,,,,1.0,yes
4731,9,,Economy Class,,,,,,,4.0,yes
4732,1,,Economy Class,,,,,,,4.0,yes
4733,1,,Economy Class,,,,,,,4.0,yes
4734,1,,Economy Class,,,,,,,4.0,yes
4735,5,,Economy Class,,,,,,,1.0,no
4736,1,,Economy Class,,,,,,,4.0,yes
4737,9,,Economy Class,,,,,,,4.0,yes
4738,n,,Economy Class,,,,,,,1.0,no
4739,8,,Economy Class,,,,,,,1.0,yes
4740,1,,Economy Class,,,,,,,4.0,yes
4741,1,,Economy Class,,,,,,,4.0,yes
4742,1,,Economy Class,,,,,,,1.0,no
4743,n,,Economy Class,,,,,,,1.0,no
4744,5,,Economy Class,,,,,,,4.0,no
4745,1,,Economy Class,,,,,,,4.0,yes
4746,9,,Economy Class,,,,,,,4.0,yes
4747,9,,Economy Class,,,,,,,4.0,yes
4748,n,,Economy Class,,,,,,,1.0,no
4749,1,,Economy Class,,,,,,,4.0,yes
4750,1,,Economy Class,,,,,,,4.0,yes
4751,1,,Economy Class,,,,,,,4.0,yes
4752,2,,Economy Class,,,,,,,1.0,no
4753,1,,Economy Class,,,,,,,4.0,yes
4754,9,,Economy Class,,,,,,,4.0,yes
4755,9,,Economy Class,,,,,,,4.0,yes
4756,1,,Economy Class,,,,,,,4.0,yes
4757,1,,Economy Class,,,,,,,4.0,yes
4758,7,,Economy Class,,,,,,,4.0,yes
4759,1,,Economy Class,,,,,,,4.0,yes
4760,9,,Economy Class,,,,,,,4.0,yes
4761,5,,,,,,,,,,no
4762,4,,,,,,,,,,no
4763,4,,,,,,,,,,no
4764,4,,,,,,,,,,no
4765,n,,,,,,,,,,no
4766,n,,,,,,,,,,no
4767,n,,,,,,,,,,no
4768,n,,,,,,,,,,no
4769,n,,,,,,,,,,no
4770,n,,,,,,,,,,no
4771,n,,,,,,,,,,no
4772,n,,,,,,,,,,no
4773,1,Solo Leisure,Economy Class,1.0,3.0,3.0,1.0,2.0,1.0,1.0,no
4774,2,Family Leisure,Economy Class,1.0,2.0,2.0,1.0,1.0,1.0,2.0,no
4775,1,Family Leisure,Premium Economy,1.0,1.0,1.0,1.0,,,1.0,no
4776,9,Business,Business Class,3.0,5.0,5.0,3.0,,,4.0,yes
4777,1,Business,Economy Class,5.0,5.0,4.0,5.0,,,5.0,yes
4778,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
4779,5,Family Leisure,Economy Class,3.0,5.0,5.0,1.0,2.0,2.0,3.0,yes
4780,8,Business,Business Class,4.0,5.0,5.0,5.0,3.0,,3.0,yes
4781,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4782,3,Business,Economy Class,4.0,4.0,,1.0,,,1.0,no
4783,5,Business,Economy Class,4.0,3.0,,1.0,,,2.0,no
4784,1,Family Leisure,Economy Class,3.0,3.0,1.0,1.0,,,1.0,no
4785,2,Business,Economy Class,,,,1.0,,,1.0,no
4786,2,Family Leisure,Economy Class,2.0,1.0,1.0,3.0,,3.0,1.0,no
4787,3,Solo Leisure,Economy Class,3.0,5.0,1.0,5.0,,,2.0,no
4788,9,Couple Leisure,Economy Class,4.0,4.0,3.0,5.0,,,4.0,yes
4789,5,Solo Leisure,Economy Class,1.0,5.0,2.0,5.0,3.0,,3.0,yes
4790,1,Business,Economy Class,2.0,2.0,,1.0,,,1.0,no
4791,3,Couple Leisure,Economy Class,1.0,4.0,1.0,3.0,2.0,,1.0,no
4792,9,Solo Leisure,Business Class,3.0,5.0,5.0,5.0,4.0,,5.0,yes
4793,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
4794,2,Couple Leisure,Economy Class,2.0,1.0,1.0,2.0,3.0,,1.0,no
4795,8,Business,Economy Class,4.0,5.0,3.0,4.0,,3.0,3.0,yes
4796,1,Couple Leisure,Business Class,2.0,3.0,1.0,1.0,1.0,2.0,1.0,no
4797,6,Business,Economy Class,2.0,4.0,4.0,1.0,,4.0,4.0,no
4798,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4799,1,Solo Leisure,Economy Class,3.0,4.0,,1.0,,,1.0,no
4800,2,Couple Leisure,Business Class,2.0,4.0,4.0,3.0,3.0,,3.0,no
4801,1,Business,Premium Economy,1.0,1.0,,2.0,,,1.0,no
4802,3,Solo Leisure,Economy Class,,,,,,,2.0,no
4803,1,Solo Leisure,Economy Class,2.0,,,1.0,,,1.0,no
4804,6,Couple Leisure,Business Class,2.0,4.0,5.0,4.0,,3.0,3.0,yes
4805,4,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,,,2.0,no
4806,1,Business,Economy Class,,,,,,,1.0,no
4807,2,Couple Leisure,Business Class,5.0,5.0,4.0,1.0,2.0,2.0,2.0,no
4808,1,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
4809,6,Solo Leisure,Economy Class,4.0,4.0,,4.0,2.0,,2.0,yes
