Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
9128,2,Couple Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
9129,8,Business,Economy Class,4.0,3.0,,3.0,,,4.0,yes
9130,1,Solo Leisure,Economy Class,3.0,1.0,,3.0,,,3.0,no
9131,1,Solo Leisure,Economy Class,4.0,3.0,,1.0,,,1.0,no
9132,2,Family Leisure,Business Class,3.0,2.0,1.0,1.0,,1.0,3.0,no
9133,1,Solo Leisure,Economy Class,,,,,,,1.0,no
9134,1,Couple Leisure,Economy Class,,,,,,,1.0,no
9135,1,Solo Leisure,Economy Class,,,,,,,1.0,no
9136,1,Solo Leisure,Economy Class,,,,1.0,,,1.0,no
9137,1,Business,Economy Class,,,,,,,1.0,no
9138,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9139,8,Solo Leisure,Economy Class,4.0,4.0,3.0,5.0,3.0,,3.0,yes
9140,9,Family Leisure,Business Class,3.0,5.0,4.0,5.0,5.0,,5.0,yes
9141,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9142,9,Couple Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,,4.0,yes
9143,9,Couple Leisure,Economy Class,4.0,5.0,5.0,3.0,3.0,,5.0,yes
9144,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9145,7,Solo Leisure,Economy Class,4.0,4.0,3.0,4.0,3.0,,4.0,yes
9146,1,Solo Leisure,Premium Economy,5.0,4.0,4.0,4.0,3.0,2.0,4.0,yes
9147,8,Solo Leisure,Premium Economy,5.0,4.0,4.0,4.0,3.0,,4.0,yes
9148,1,Family Leisure,Economy Class,5.0,5.0,5.0,4.0,4.0,3.0,5.0,yes
9149,3,Business,Business Class,2.0,5.0,2.0,2.0,1.0,1.0,2.0,no
9150,3,Family Leisure,Premium Economy,4.0,1.0,1.0,1.0,2.0,,3.0,no
9151,8,Business,Business Class,4.0,4.0,4.0,4.0,3.0,1.0,5.0,yes
9152,2,Couple Leisure,Economy Class,1.0,5.0,4.0,1.0,3.0,3.0,1.0,no
9153,7,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,,4.0,yes
9154,5,Business,Economy Class,3.0,4.0,4.0,4.0,3.0,,4.0,yes
9155,1,Couple Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9156,3,Solo Leisure,Economy Class,1.0,5.0,4.0,5.0,4.0,2.0,2.0,no
9157,8,Solo Leisure,Economy Class,4.0,4.0,4.0,4.0,,,4.0,yes
9158,4,Couple Leisure,Economy Class,1.0,2.0,2.0,1.0,1.0,,3.0,no
9159,1,Solo Leisure,Economy Class,,,,1.0,,,1.0,no
9160,3,Couple Leisure,Economy Class,4.0,3.0,,2.0,,,2.0,no
9161,1,Family Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9162,1,Family Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9163,3,Couple Leisure,Economy Class,1.0,4.0,4.0,2.0,4.0,,2.0,no
9164,1,Solo Leisure,Economy Class,3.0,5.0,4.0,1.0,4.0,,2.0,no
9165,5,Couple Leisure,Economy Class,1.0,4.0,1.0,4.0,4.0,1.0,3.0,no
9166,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9167,4,Couple Leisure,Economy Class,2.0,1.0,1.0,4.0,,,2.0,no
9168,3,Family Leisure,Economy Class,1.0,1.0,2.0,2.0,3.0,2.0,4.0,no
9169,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,4.0,yes
