Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
149,1,Business,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,Detractor
150,1,Family Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
151,2,Business,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
152,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
153,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
154,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,Promoter
155,2,Solo Leisure,Economy Class,3.0,3.0,1.0,3.0,1.0,1.0,2.0,no,Detractor
156,1,Solo Leisure,Premium Economy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
157,1,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
158,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,Promoter
159,1,Business,Economy Class,3.0,3.0,3.0,1.0,1.0,1.0,1.0,no,Detractor
160,7,Couple Leisure,Business Class,4.0,5.0,3.0,1.0,2.0,1.0,1.0,yes,Passive
161,1,Solo Leisure,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
162,1,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,5.0,yes,Detractor
163,4,Couple Leisure,Premium Economy,4.0,1.0,1.0,4.0,1.0,1.0,3.0,no,Detractor
164,1,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
165,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
166,9,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,4.0,5.0,yes,Promoter
167,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
168,1,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
169,3,Business,Business Class,1.0,5.0,3.0,5.0,1.0,1.0,1.0,no,Detractor
170,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
171,1,Couple Leisure,Economy Class,1.0,3.0,2.0,3.0,1.0,2.0,1.0,no,Detractor
172,1,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,4.0,5.0,5.0,yes,Detractor
173,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
174,1,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
175,9,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,4.0,4.0,5.0,yes,Promoter
176,6,Family Leisure,Economy Class,2.0,4.0,2.0,5.0,1.0,1.0,2.0,yes,Detractor
177,4,Family Leisure,Economy Class,4.0,2.0,1.0,3.0,1.0,1.0,1.0,yes,Detractor
178,1,Family Leisure,Economy Class,2.0,4.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
179,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
180,4,Business,Economy Class,4.0,4.0,3.0,1.0,3.0,1.0,1.0,no,Detractor
181,5,Business,Economy Class,4.0,5.0,2.0,4.0,1.0,1.0,2.0,no,Detractor
182,2,Business,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
183,2,Family Leisure,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
184,7,Solo Leisure,Economy Class,3.0,4.0,4.0,4.0,4.0,4.0,5.0,yes,Passive
185,7,Couple Leisure,Economy Class,3.0,3.0,3.0,4.0,1.0,1.0,5.0,yes,Passive
186,1,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
187,5,Solo Leisure,Economy Class,3.0,4.0,2.0,4.0,1.0,1.0,3.0,no,Detractor
188,2,Solo Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
189,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
190,3,Solo Leisure,Economy Class,4.0,5.0,4.0,3.0,1.0,1.0,3.0,no,Detractor
191,3,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
192,1,Solo Leisure,Business Class,3.0,5.0,4.0,5.0,3.0,4.0,4.0,yes,Detractor
193,9,Family Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,Promoter
194,3,Couple Leisure,Economy Class,4.0,4.0,3.0,1.0,3.0,1.0,3.0,no,Detractor
195,1,Couple Leisure,Economy Class,1.0,4.0,1.0,3.0,1.0,1.0,2.0,no,Detractor
196,1,Couple Leisure,Economy Class,3.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
197,3,Couple Leisure,Economy Class,2.0,2.0,1.0,4.0,1.0,1.0,1.0,no,Detractor
198,2,Solo Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
199,1,Couple Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
200,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
201,2,Couple Leisure,Economy Class,2.0,4.0,4.0,1.0,1.0,1.0,3.0,no,Detractor
202,1,Family Leisure,Economy Class,3.0,4.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
203,1,Family Leisure,Economy Class,2.0,2.0,1.0,3.0,3.0,2.0,3.0,no,Detractor
204,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
205,1,Couple Leisure,Economy Class,1.0,5.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
206,9,Family Leisure,Economy Class,4.0,5.0,1.0,4.0,1.0,1.0,5.0,yes,Promoter
207,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
208,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
209,1,Solo Leisure,Economy Class,3.0,5.0,5.0,1.0,3.0,1.0,1.0,no,Detractor
210,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
211,7,Couple Leisure,Business Class,5.0,4.0,3.0,5.0,2.0,1.0,4.0,yes,Passive
